00:03.295  blend            | Read blend: "/Users/cedric/Desktop/magic desk/blender/collection/I_nautilus_port_edge_r68.blend"
00:17:55 | INFO: Blender create Mesh node P_Petal_04_BaseJoint_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Petal_05_BaseJoint_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Socket_Crown_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Thermal_Valve_0_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Thermal_Valve_1_JoinedMesh_CompactFeedthrough
00:17:55 | INFO: Blender create Mesh node P_Thermal_Valve_2_JoinedMesh_CompactFeedthrough
00:17:55 | INFO: Blender create Mesh node P_Crown_Sector_00_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Inspection_Filament_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Inspection_Window_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Petal_00_Enamel_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Petal_00_HingeCap_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Petal_00_Latch_JoinedMesh
00:17:55 | INFO: Blender create Mesh node Petal_00_InnerSkin_Mesh
00:17:55 | INFO: Blender create Mesh node P_Petal_00_RibFrame_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Crown_Sector_01_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Petal_01_Enamel_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Petal_01_HingeCap_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Petal_01_Latch_JoinedMesh
00:17:55 | INFO: Blender create Mesh node Petal_01_InnerSkin_Mesh
00:17:55 | INFO: Blender create Mesh node P_Petal_01_RibFrame_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Crown_Sector_02_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Petal_02_Enamel_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Petal_02_HingeCap_JoinedMesh
00:17:55 | INFO: Blender create Mesh node P_Petal_02_Latch_JoinedMesh
00:17:55 | INFO: Blender create Mesh node Petal_02_InnerSkin_Mesh
00:17:55 | INFO: Blender create Mesh node P_Petal_02_RibFrame_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Crown_Sector_03_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Petal_03_Enamel_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Petal_03_HingeCap_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Petal_03_Latch_JoinedMesh
00:17:56 | INFO: Blender create Mesh node Petal_03_InnerSkin_Mesh
00:17:56 | INFO: Blender create Mesh node P_Petal_03_RibFrame_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Crown_Sector_04_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Petal_04_Enamel_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Petal_04_HingeCap_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Petal_04_Latch_JoinedMesh
00:17:56 | INFO: Blender create Mesh node Petal_04_InnerSkin_Mesh
00:17:56 | INFO: Blender create Mesh node P_Petal_04_RibFrame_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Crown_Sector_05_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Petal_05_Enamel_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Petal_05_HingeCap_JoinedMesh
00:17:56 | INFO: Blender create Mesh node P_Petal_05_Latch_JoinedMesh
00:17:56 | INFO: Blender create Mesh node Petal_05_InnerSkin_Mesh
00:17:56 | INFO: Blender create Mesh node P_Petal_05_RibFrame_JoinedMesh
00:17:56 | INFO: Blender create Mesh node TURNTABLE_JoinedMesh
00:17:56 | INFO: glTF import finished in 3.27s
SHELL02_PATH down [(0.0, 0), (0.005, 0), (0.01, 0), (0.02, 13), (0.05, 229), (0.1, 579), (0.2, 1675), (0.4, 1772), (0.6, 318), (0.8, 2034), (1.0, 3128)]
SHELL02_PATH left_down [(0.0, 0), (0.005, 70), (0.01, 233), (0.02, 481), (0.05, 1104), (0.1, 2482), (0.2, 3140), (0.4, 4127), (0.6, 1876), (0.8, 1075), (1.0, 734)]
SHELL02_PATH back_down [(0.0, 0), (0.005, 0), (0.01, 0), (0.02, 0), (0.05, 38), (0.1, 2089), (0.2, 5022), (0.4, 3597), (0.6, 3624), (0.8, 5028), (1.0, 4095)]
SHELL02_PATH front_down [(0.0, 0), (0.005, 174), (0.01, 588), (0.02, 812), (0.05, 2953), (0.1, 5310), (0.2, 6277), (0.4, 10426), (0.6, 10219), (0.8, 7426), (1.0, 5343)]
SHELL02_PATH right_down [(0.0, 0), (0.005, 0), (0.01, 17), (0.02, 92), (0.05, 224), (0.1, 600), (0.2, 331), (0.4, 1898), (0.6, 2904), (0.8, 1776), (1.0, 3039)]
Blender 5.1.2 (hash ec6e62d40fa9 built 2026-05-19 01:30:33)

Blender quit
