elapsed_seconds,present_gap_ms,frame_id,width,height,bitmap_allocations,native_crop_ms,generation2_collections
3.3947,7.693,190,555,819,2,2.147,1
3.4129,18.192,191,563,819,2,3.783,1
3.4376,24.700,192,571,819,2,3.155,1
3.4478,10.245,193,577,819,2,3.794,1
3.4630,15.145,194,583,819,2,2.331,1
3.4819,18.954,195,588,819,2,2.889,1
3.4974,15.456,196,592,819,2,2.790,1
3.5253,27.882,197,595,819,2,3.181,1
3.5451,19.809,198,596,819,2,3.637,1
3.5578,12.735,199,598,819,2,3.625,1
3.5793,21.456,200,598,819,2,4.223,1
3.5859,6.647,201,598,819,2,2.637,1
3.6021,16.176,202,598,819,2,2.333,1
3.6214,19.330,203,598,819,2,3.073,1
3.6437,22.256,204,598,819,2,3.327,1
3.6611,17.426,205,598,819,2,2.889,1
3.6762,15.075,206,598,819,2,3.194,1
3.6930,16.842,207,598,819,2,2.883,1
3.7079,14.871,208,598,819,2,2.702,1
3.7248,16.864,209,598,819,2,2.609,1
3.7491,24.308,210,598,819,2,3.382,1
3.7654,16.350,211,598,819,2,2.846,1
3.7728,7.366,212,598,819,2,2.499,1
3.7990,26.260,213,598,819,2,2.940,1
3.8060,6.948,214,598,819,2,2.537,1
3.8329,26.922,215,598,819,2,2.318,1
3.8400,7.052,216,598,819,2,2.962,1
3.8567,16.691,217,598,819,2,2.420,1
3.8732,16.571,218,598,819,2,2.367,1
3.8899,16.687,219,598,819,2,2.314,1
3.9044,14.523,220,599,819,2,2.392,1
3.9223,17.871,221,600,819,2,2.617,1
3.9362,13.852,222,601,819,2,2.244,1
3.9551,18.908,223,602,819,2,2.345,1
3.9836,28.555,224,603,819,2,3.754,1
3.9943,10.658,225,603,819,2,3.288,1
4.0162,21.896,226,603,819,2,3.976,1
4.0230,6.799,227,604,819,2,2.396,1
4.0364,13.469,228,604,819,2,2.849,1
4.0558,19.317,229,604,819,2,2.549,1
4.0722,16.471,230,604,819,2,2.266,1
4.0870,14.726,231,604,819,2,2.378,1
4.1060,19.004,232,605,819,2,2.372,1
4.1211,15.178,233,606,819,2,2.320,1
4.1525,31.383,234,604,819,2,3.612,1
4.1598,7.292,235,598,819,2,3.097,1
4.1743,14.472,236,598,819,2,2.407,1
4.1910,16.747,237,598,819,2,2.573,1
4.2058,14.784,238,606,819,2,2.336,1
4.2241,18.310,239,614,819,2,3.028,1
4.2378,13.631,240,622,819,2,2.402,1
4.2565,18.706,241,630,819,2,2.419,1
4.2704,13.950,242,637,819,2,2.298,1
4.3003,29.926,243,643,819,2,3.105,1
4.3150,14.696,244,648,819,2,5.376,1
4.3321,17.021,245,652,819,2,2.267,1
4.3438,11.766,246,656,819,2,2.662,1
4.3612,17.351,247,658,819,2,2.634,1
4.3863,25.140,248,669,819,2,3.476,1
4.3956,9.238,249,688,819,2,2.625,1
4.4167,21.119,250,709,819,2,3.422,1
4.4336,16.975,251,729,819,2,2.214,1
4.4503,16.635,252,749,819,2,3.374,1
4.4794,29.132,253,770,819,2,3.973,1
4.4968,17.408,254,791,819,2,2.877,1
4.5026,5.748,255,809,819,2,2.354,1
4.5209,18.355,256,827,819,2,2.788,1
4.5361,15.169,257,843,819,2,2.434,1
4.5542,18.140,258,858,819,2,2.605,1
4.5697,15.513,259,872,819,2,2.435,1
4.5970,27.294,260,883,819,2,3.252,1
4.6040,6.967,261,891,819,2,2.416,1
4.6233,19.306,262,896,819,2,2.586,1
4.6381,14.835,263,899,819,2,2.494,1
4.6565,18.341,264,900,819,2,2.550,1
4.6771,20.589,265,900,819,2,3.250,1
4.6936,16.516,266,900,819,2,3.436,1
4.7209,27.258,267,900,819,2,4.144,1
4.7387,17.829,268,900,819,2,3.474,1
4.7578,19.083,269,900,819,2,2.882,1
4.7756,17.828,270,900,819,2,2.820,1
4.7924,16.760,271,900,819,2,3.258,1
4.8118,19.466,272,900,819,2,3.455,1
4.8210,9.179,273,900,819,2,3.167,1
4.8381,17.073,274,900,819,2,2.828,1
4.8569,18.838,275,900,819,2,2.776,1
4.8726,15.659,276,902,819,2,2.563,1
4.8915,18.978,277,907,819,2,2.425,1
4.9068,15.268,278,909,819,2,2.715,1
4.9245,17.688,279,909,819,2,2.357,1
4.9442,19.688,280,909,819,2,3.240,1
4.9600,15.821,281,909,819,2,2.863,1
4.9749,14.936,282,909,819,2,2.467,1
4.9942,19.303,283,909,819,2,3.548,1
5.0098,15.518,284,909,819,2,2.715,1
5.0257,15.952,285,909,819,2,3.196,1
5.0400,14.249,286,909,819,2,2.343,1
5.0606,20.655,287,909,819,2,2.959,1
5.0744,13.768,288,909,819,2,2.312,1
5.0926,18.198,289,909,819,2,3.090,1
5.1054,12.824,290,909,819,2,2.326,1
5.1242,18.759,291,909,819,2,2.525,1
5.1394,15.201,292,909,819,2,2.970,1
5.1552,15.844,293,909,819,2,2.632,1
